Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Regulation Of Inflammatory Response (GO:0050727)	2/240	1.186631e-02	3.279092e-02	0	0	1.382913e+01	6.131909e+01	ANXA1;LGALS1
GO_Biological_Process_2023	Regulation Of Apoptotic Process (GO:0042981)	3/705	1.187090e-02	3.279092e-02	0	0	7.491841e+00	3.321632e+01	ANXA1;LGALS1;TGM2
GO_Biological_Process_2023	Positive Regulation Of Programmed Cell Death (GO:0043068)	2/245	1.234232e-02	3.351408e-02	0	0	1.354115e+01	5.950960e+01	LGALS1;TGM2
GO_Biological_Process_2023	Positive Regulation Of Neutrophil Chemotaxis (GO:0090023)	1/18	1.253049e-02	3.351408e-02	0	0	9.035747e+01	3.957287e+02	CCL21
GO_Biological_Process_2023	Myoblast Fusion (GO:0007520)	1/18	1.253049e-02	3.351408e-02	0	0	9.035747e+01	3.957287e+02	CD9
GO_Biological_Process_2023	Dendritic Cell Migration (GO:0036336)	1/18	1.253049e-02	3.351408e-02	0	0	9.035747e+01	3.957287e+02	CCL21
GO_Biological_Process_2023	Eye Morphogenesis (GO:0048592)	1/19	1.322233e-02	3.401471e-02	0	0	8.533333e+01	3.691390e+02	EFEMP1
GO_Biological_Process_2023	Cellular Response To Catecholamine Stimulus (GO:0071870)	1/19	1.322233e-02	3.401471e-02	0	0	8.533333e+01	3.691390e+02	TGM2
GO_Biological_Process_2023	Regulation Of Tissue Remodeling (GO:0034103)	1/19	1.322233e-02	3.401471e-02	0	0	8.533333e+01	3.691390e+02	CST3
GO_Biological_Process_2023	Regulation Of Integrin-Mediated Signaling Pathway (GO:2001044)	1/19	1.322233e-02	3.401471e-02	0	0	8.533333e+01	3.691390e+02	TIMP1
GO_Biological_Process_2023	Insulin Secretion (GO:0030073)	1/19	1.322233e-02	3.401471e-02	0	0	8.533333e+01	3.691390e+02	ANXA1
GO_Biological_Process_2023	Negative Regulation Of Reproductive Process (GO:2000242)	1/20	1.391373e-02	3.499200e-02	0	0	8.083806e+01	3.455729e+02	TIMP1
GO_Biological_Process_2023	Response To Ketone (GO:1901654)	1/20	1.391373e-02	3.499200e-02	0	0	8.083806e+01	3.455729e+02	CCL21
GO_Biological_Process_2023	Endoplasmic Reticulum Calcium Ion Homeostasis (GO:0032469)	1/20	1.391373e-02	3.499200e-02	0	0	8.083806e+01	3.455729e+02	TGM2
GO_Biological_Process_2023	Positive Regulation Of Granulocyte Chemotaxis (GO:0071624)	1/21	1.460468e-02	3.592538e-02	0	0	7.679231e+01	3.245560e+02	CCL21
GO_Biological_Process_2023	Mitochondrial Calcium Ion Homeostasis (GO:0051560)	1/21	1.460468e-02	3.592538e-02	0	0	7.679231e+01	3.245560e+02	TGM2
GO_Biological_Process_2023	Regulation Of Membrane Protein Ectodomain Proteolysis (GO:0051043)	1/21	1.460468e-02	3.592538e-02	0	0	7.679231e+01	3.245560e+02	TIMP1
GO_Biological_Process_2023	Positive Regulation Of Apoptotic Process (GO:0043065)	2/270	1.484664e-02	3.625592e-02	0	0	1.226244e+01	5.162464e+01	LGALS1;TGM2
GO_Biological_Process_2023	Cellular Response To Interferon-Beta (GO:0035458)	1/22	1.529518e-02	3.655656e-02	0	0	7.313187e+01	3.057071e+02	IFITM2
GO_Biological_Process_2023	Cellular Response To Low-Density Lipoprotein Particle Stimulus (GO:0071404)	1/22	1.529518e-02	3.655656e-02	0	0	7.313187e+01	3.057071e+02	CD9
GO_Biological_Process_2023	Positive Regulation Of Viral Life Cycle (GO:1903902)	1/22	1.529518e-02	3.655656e-02	0	0	7.313187e+01	3.057071e+02	LGALS1
GO_Biological_Process_2023	Positive Regulation Of Neutrophil Migration (GO:1902624)	1/23	1.598523e-02	3.767148e-02	0	0	6.980420e+01	2.887165e+02	CCL21
GO_Biological_Process_2023	Regulation Of T Cell Migration (GO:2000404)	1/23	1.598523e-02	3.767148e-02	0	0	6.980420e+01	2.887165e+02	CCL21
