Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2023	Positive Regulation Of Protein Polymerization (GO:0032273)	1/70	4.791570e-02	6.728162e-02	0	0	2.220401e+01	6.746272e+01	CCL21
GO_Biological_Process_2023	Regulation Of Actin Filament Polymerization (GO:0030833)	1/70	4.791570e-02	6.728162e-02	0	0	2.220401e+01	6.746272e+01	CCL21
GO_Biological_Process_2023	Neutrophil Chemotaxis (GO:0030593)	1/70	4.791570e-02	6.728162e-02	0	0	2.220401e+01	6.746272e+01	CCL21
GO_Biological_Process_2023	Positive Regulation Of Cell-Substrate Adhesion (GO:0010811)	1/71	4.858449e-02	6.793765e-02	0	0	2.188571e+01	6.619227e+01	CCL21
GO_Biological_Process_2023	Response To Ionizing Radiation (GO:0010212)	1/72	4.925286e-02	6.830540e-02	0	0	2.157638e+01	6.496191e+01	ANXA1
GO_Biological_Process_2023	Negative Regulation Of Catabolic Process (GO:0009895)	1/72	4.925286e-02	6.830540e-02	0	0	2.157638e+01	6.496191e+01	CST3
GO_Biological_Process_2023	Cellular Response To Reactive Oxygen Species (GO:0034614)	1/73	4.992078e-02	6.894796e-02	0	0	2.127564e+01	6.376986e+01	ANXA1
GO_Biological_Process_2023	Positive Regulation Of Lymphocyte Proliferation (GO:0050671)	1/74	5.058827e-02	6.930182e-02	0	0	2.098314e+01	6.261444e+01	ANXA1
GO_Biological_Process_2023	Gland Development (GO:0048732)	1/74	5.058827e-02	6.930182e-02	0	0	2.098314e+01	6.261444e+01	ANXA1
GO_Biological_Process_2023	Positive Regulation Of Neurogenesis (GO:0050769)	1/75	5.125533e-02	6.993136e-02	0	0	2.069854e+01	6.149405e+01	TGM2
GO_Biological_Process_2023	Positive Regulation Of JNK Cascade (GO:0046330)	1/77	5.258813e-02	7.088880e-02	0	0	2.015182e+01	5.935245e+01	CCL21
GO_Biological_Process_2023	Regulation Of T Cell Proliferation (GO:0042129)	1/77	5.258813e-02	7.088880e-02	0	0	2.015182e+01	5.935245e+01	ANXA1
GO_Biological_Process_2023	Neutrophil Migration (GO:1990266)	1/77	5.258813e-02	7.088880e-02	0	0	2.015182e+01	5.935245e+01	CCL21
GO_Biological_Process_2023	Cellular Response To UV (GO:0034644)	1/79	5.391920e-02	7.182122e-02	0	0	1.963314e+01	5.733403e+01	TIMP1
GO_Biological_Process_2023	Positive Regulation Of Cytoskeleton Organization (GO:0051495)	1/79	5.391920e-02	7.182122e-02	0	0	1.963314e+01	5.733403e+01	CCL21
GO_Biological_Process_2023	Positive Regulation Of Endocytosis (GO:0045807)	1/79	5.391920e-02	7.182122e-02	0	0	1.963314e+01	5.733403e+01	CCL21
